id,ean,status,is_bulk,packaging,published,share_url,display_name,is_variable_weight,details_brand,details_origin,details_counter_info,details_danger_mentions,details_alcohol_by_volume,details_mandatory_mentions,details_production_variant,details_usage_instructions,details_storage_instructions,price_iva,price_is_new,price_is_pack,price_pack_size,price_unit_name,price_unit_size,price_bulk_price,price_unit_price,price_approx_size,price_size_format,price_total_units,price_unit_selector,price_bunch_selector,price_drained_weight,price_selling_method,price_reference_price,price_min_bunch_amount,price_reference_format,allergens,ingredients,level_0_cat_id,level_0_cat_name,level_0_cat_order,level_1_cat_id,level_1_cat_name,level_1_cat_order,level_2_cat_id,level_2_cat_name,level_2_cat_order,img_0_url,img_0_perspective,img_1_url,img_1_perspective,img_2_url,img_2_perspective,img_3_url,img_3_perspective,img_4_url,img_4_perspective,img_5_url,img_5_perspective,img_6_url,img_6_perspective,img_0_nutri_info_file,img_1_nutri_info_file,img_2_nutri_info_file,img_3_nutri_info_file,img_4_nutri_info_file,img_5_nutri_info_file,img_6_nutri_info_file,valor_energético,grasas,grasas_saturadas,carbohidratos,azúcares,proteinas,sal
61025,8480000610256,,False,Paquete,True,https://tienda.mercadona.es/product/61025/salteado-setas-hacendado-ultracongeladas-paquete,Salteado de setas Hacendado ultracongeladas,False,Hacendado,,,,,*El contenido de sal obedece exclusivamente al sodio presente de forma natural en el alimento.,,Sartén 10 min.,Conservar a -18 ºC. Una vez descongelado no volver a congelar.,4.0,False,False,,,0.45,3.58,1.61,False,kg,,True,False,,0,3.578,1.0,kg, <strong>x99</strong>.,"<p>Setas cultivadas en proporción variable [Agaricus  bisporus (champiñón), Pleurotus ostreatus, Pholiota  nameko, Pleurotus cornucopiae y Lentinula edodes (shiitake)].",17,Congelados,213,145,Verdura,213,504,Verdura,213,https://prod-mercadona.imgix.net/images/a62440f5e0d22babc59dd602b87cfee2.jpg?fit=crop&h=1600&w=1600,2,https://prod-mercadona.imgix.net/images/708a051bb853fe1a9225fa9bbc11e730.jpg?fit=crop&h=1600&w=1600,9.0,,,,,,,,,,,,61025_img_1.jpg,,,,,,16.0,0.3,0.1,0.5,0.3,1.8,0.03
61027,8480000610270,,False,Paquete,True,https://tienda.mercadona.es/product/61027/salteado-verduras-asadas-hacendado-ultracongeladas-paquete,Salteado de verduras asadas Hacendado ultracongeladas,False,Hacendado,,,,,*El contenido de sal obedece exclusivamente al sodio presente de forma natural en el alimento.,,Sartén 8 min./ Freidora de aire (180 ºC) 14-16 min./ Horno (180-200 ºC) 10 min./  Microondas 10 min. (Máxima potencia),Conservar a -18 ºC. Una vez descongelado no volver a congelar.,10.0,False,False,,,0.4,4.25,1.7,False,kg,,True,False,,0,4.25,1.0,kg, <strong>x99</strong>.,"<p>Verduras asadas en proporción variable (calabacín, cebolla, berenjena, pimiento  rojo y pimiento amarillo).",17,Congelados,213,145,Verdura,213,504,Verdura,213,https://prod-mercadona.imgix.net/images/8d33c9b6f3659c40428ab8d274d3dab7.jpg?fit=crop&h=1600&w=1600,2,https://prod-mercadona.imgix.net/images/63144dbe573ae9eef17f73e0814e7145.jpg?fit=crop&h=1600&w=1600,9.0,,,,,,,,,,,,61027_img_1.jpg,,,,,,46.0,0.1,0.0,8.0,6.6,1.8,0.03
61034,8480000610348,,False,Paquete,True,https://tienda.mercadona.es/product/61034/parrillada-verduras-hacendado-ultracongeladas-paquete,Parrillada de verduras Hacendado ultracongeladas,False,Hacendado,,,,,*El contenido de sal obedece exclusivamente al sodio presente de forma natural en el alimento.,,"Sartén 7 min./ Freidora de aire (180 ºC) 9 min. Después del tiempo, remueva bien. 9 min.",Conservar a -18 ºC. Una vez descongelado no volver a congelar.,10.0,False,False,,,0.4,3.88,1.55,False,kg,,True,False,,0,3.875,1.0,kg, <strong>x99</strong>.,"<p>Verduras asadas en proporción variable (63%) (calabacín, berenjena, cebolla, pimiento rojo, pimiento amarillo) y patata asada (37%).",17,Congelados,213,145,Verdura,213,504,Verdura,213,https://prod-mercadona.imgix.net/images/6daebba705fb04e407520888d448e5ad.jpg?fit=crop&h=1600&w=1600,2,https://prod-mercadona.imgix.net/images/b0af58798dbfa30b2414077db1ce2a9a.jpg?fit=crop&h=1600&w=1600,9.0,,,,,,,,,,,,61034_img_1.jpg,,,,,,55.0,0.0,0.0,10.0,4.7,2.2,0.03
61053,8480000610539,,False,Paquete,True,https://tienda.mercadona.es/product/61053/salteado-patata-salchicha-hacendado-ultracongelado-paquete,Salteado de patata y salchicha Hacendado ultracongelado,False,Hacendado,,,,,SIN GLUTEN,,"SARTÉN: Vierta el salteado sin descongelar, en una sartén con 3 cucharadas de aceite. Rehogue a fuego medio durante 8 minutos removiendo continuamente. Sazone al gusto y utilice a conveniencia. MICROONDAS 850 W: Vierta el salteado de patata sin descongelar, en un recipiente apto para microondas. Añada 1 cucharada de aceite a la mezcla. Tape y póngalo al máximo de potencia* durante 8 minutos. Sazone al gusto y utilice a conveniencia. *Ajuste los tiempos en función de la potencia del microondas y de la cantidad de producto utilizada.","Conservar a - 18 C. Para no alterar la calidad de este producto, aconsejamos no volver a congelarlo una vez descongelado.",10.0,False,False,,,0.45,4.22,1.9,False,kg,,True,False,,0,4.223,1.0,kg,Contiene <strong>huevos y productos a base de huevo</strong>.,"Patata prefrita (56,5%) (patata, aceite de girasol y dextrosa), salchicha (12%) (carne de cerdo, agua, almidón  de patata, sal, azúcar, especias, estabilizante: trifosfatos, aroma  de humo y conservador: nitrito sódico), guisante, zanahoria, tortilla (<strong>huevo,</strong> agua, sal, espesante: goma xantana y concentrado de zumo de limón), bacon (panceta de cerdo, agua,  sal, azúcar, estabilizantes: trifosfatos y carragenanos,  antioxidante: eritorbato sódico, conservador: nitrito sódico y aroma de humo) y cebolla prefrita (cebolla y aceite de girasol).",17,Congelados,213,145,Verdura,213,504,Verdura,213,https://prod-mercadona.imgix.net/images/07008d7c325a3749185e5463e40e1064.jpg?fit=crop&h=1600&w=1600,2,https://prod-mercadona.imgix.net/images/c7e24bf6484001c635f3c1d133dbbcf8.jpg?fit=crop&h=1600&w=1600,9.0,,,,,,,,,,,,61053_img_1.jpg,,,,,,149.0,7.6,1.9,17.9,1.5,4.3,0.52
61065,8480000610652,,False,Paquete,True,https://tienda.mercadona.es/product/61065/salteado-verduras-hacendado-ultracongelado-paquete,Salteado de verduras Hacendado ultracongelado,False,Hacendado,,,,,,SA,"SARTÉN: Vierta el salteado de verduras sin descongelar, en una sartén con 2 cucharadas de aceite. Rehogue a fuego fuerte durante 7 minutos removiendo continuamente. Sazone al gusto y utilice a conveniencia. MICROONDAS 850 W: Vierta media bolsa (300g) de producto sin descongelar, en un recipiente apto para microondas. Tape y póngalo al máximo de potencia* durante unos 7 minutos. Sazone y utilice al gusto. *Ajuste los tiempos en función de la potencia del microondas y de la cantidad de producto utilizada.","Conservar a - 18 C. Para no alterar la calidad de este producto, aconsejamos no volver a congelarlo una vez descongelado.",4.0,False,False,,,0.6,2.42,1.45,False,kg,,True,False,,0,2.417,1.0,kg, <strong>x99</strong>.,"<p>Hortalizas y verduras en proporción variable (judía verde, brócoli, pimiento  rojo, champiñón cultivado (Agaricus bisporus) y cebolla)",17,Congelados,213,145,Verdura,213,504,Verdura,213,https://prod-mercadona.imgix.net/images/fefbdd4a6323c54a3421311053edd8a7.jpg?fit=crop&h=1600&w=1600,2,https://prod-mercadona.imgix.net/images/644444d59edb35222a73e030b571ce51.jpg?fit=crop&h=1600&w=1600,9.0,,,,,,,,,,,,61065_img_1.jpg,,,,,,31.0,0.3,0.1,3.8,3.0,2.0,0.05
61089,8480000610898,,False,Paquete,True,https://tienda.mercadona.es/product/61089/mix-frutos-rojos-hacendado-ultracongeladas-paquete,Mix frutos rojos Hacendado ultracongeladas,False,Hacendado,Marruecos,,,,,,Para elaboraciones calientes: utilizar sin descongelar. Para elaboraciones frías: utilizar a conveniencia. Si desea consumirlo descongelado introduzca la fruta en el frigorífico  durante 5 horas colocándola sobre un plato a una sola capa.,En congelador: Sin estrellas 3 días. Una estrella 1 semana. Dos estrellas 1 mes. Tres o cuatro estrellas ver fecha de consumo preferente.,,False,False,,,0.3,6.33,1.9,False,kg,,True,False,,0,6.334,1.0,kg, <strong>x99</strong>.,"Fresas, zarzamoras, grosellas rojas, grosellas negras, frambuesas, arándanos silvestres",17,Congelados,213,145,Verdura,213,826,Fruta,213,https://prod-mercadona.imgix.net/images/8a8df6f77d8d7195ef49a4f6ade4dddf.jpg?fit=crop&h=1600&w=1600,2,https://prod-mercadona.imgix.net/images/b077a0540fbfeeaa31108fcf8c5bf54c.jpg?fit=crop&h=1600&w=1600,9.0,,,,,,,,,,,,61089_img_1.jpg,,,,,,39.0,0.0,0.0,6.0,5.7,0.9,0.0
61092,8480000610928,,False,Paquete,True,https://tienda.mercadona.es/product/61092/fresas-enteras-hacendado-ultracongeladas-paquete,Fresas enteras Hacendado ultracongeladas,False,Hacendado,Marruecos,,,,,,Para elaboraciones calientes: utilizar sin descongelar. Para elaboraciones frías: utilizar a conveniencia. Si desea consumirlo descongelado introduzca la fruta en el frigorífico  durante 5 horas colocándola sobre un plato a una sola capa.,En congelador: Sin estrellas 3 días. Una estrella 1 semana. Dos estrellas 1 mes. Tres o cuatro estrellas ver fecha de consumo preferente.,4.0,False,False,,,0.3,6.33,1.9,False,kg,,True,False,,0,6.334,1.0,kg, <strong>x99</strong>.,100% Fresas enteras,17,Congelados,213,145,Verdura,213,826,Fruta,213,https://prod-mercadona.imgix.net/images/82271348f4c89b9ee829c7a42f81412f.jpg?fit=crop&h=1600&w=1600,2,https://prod-mercadona.imgix.net/images/e55820da4015b76ebae2c0d81e87647a.jpg?fit=crop&h=1600&w=1600,9.0,,,,,,,,,,,,61092_img_1.jpg,,,,,,30.0,0.0,0.0,5.2,4.7,0.7,0.0
61093,8480000610935,,False,Paquete,True,https://tienda.mercadona.es/product/61093/arandanos-enteros-hacendado-ultracongelados-paquete,Arándanos enteros Hacendado ultracongelados,False,Hacendado,Marruecos,,,,,,Para elaboraciones calientes: utilizar sin descongelar. Para elaboraciones frías: utilizar a conveniencia. Si desea consumirlo descongelado introduzca la fruta en el frigorífico  durante 5 horas colocándola sobre un plato a una sola capa.,En congelador: Sin estrellas 3 días. Una estrella 1 semana. Dos estrellas 1 mes. Tres o cuatro estrellas ver fecha de consumo preferente.,4.0,False,False,,,0.3,7.17,2.15,False,kg,,True,False,,0,7.167,1.0,kg, <strong>x99</strong>.,100% Arándanos,17,Congelados,213,145,Verdura,213,826,Fruta,213,https://prod-mercadona.imgix.net/images/816d6a2275f1cada7d00c665d6a371bf.jpg?fit=crop&h=1600&w=1600,2,https://prod-mercadona.imgix.net/images/083b7c4d1f38a09d42181d3cd577e0eb.jpg?fit=crop&h=1600&w=1600,9.0,,,,,,,,,,,,61093_img_1.jpg,,,,,,52.0,0.0,0.0,11.0,10.0,0.7,0.0
61101,8480000611017,,False,Paquete,True,https://tienda.mercadona.es/product/61101/ensaladilla-hacendado-ultracongelada-paquete,Ensaladilla Hacendado ultracongelada,False,Hacendado,,,,,*El contenido de sal obedece exclusivamente al sodio presente de forma natural en el alimento.,,Cocción 4-6 min.,Conservar a -18 ºC. Una vez descongelado no volver a congelar.,4.0,False,False,,,1.0,1.36,1.36,False,kg,,True,False,,0,1.36,1.0,kg, <strong>x99</strong>.,"<p>Patata, zanahoria, judía verde troceada  y guisantes.",17,Congelados,213,145,Verdura,213,504,Verdura,213,https://prod-mercadona.imgix.net/images/2207791ea61f6613e34ad96bb909d9ab.jpg?fit=crop&h=1600&w=1600,2,https://prod-mercadona.imgix.net/images/410ca70ce861f53602d32bf440d65ef8.jpg?fit=crop&h=1600&w=1600,9.0,,,,,,,,,,,,61101_img_1.jpg,,,,,,65.0,0.2,0.0,12.0,2.7,2.5,0.03
61125,8480000611253,,False,Paquete,True,https://tienda.mercadona.es/product/61125/verdura-paella-hacendado-ultracongelada-paquete,Verdura para paella Hacendado ultracongelada,False,Hacendado,,,,,*El contenido de sal obedece exclusivamente al sodio presente de forma natural en el alimento.,,PAELLERA: 8 minutos.,"CONSERVACIÓN EN EL HOGAR: En congelador: (sin estrellas): 3 días; (*): 1 semana; (**): 1 mes; (***/****): ver fecha de consumo preferente. En frigorífico: 1 día. Conservar a - 18 C. Para no alterar la calidad de este producto, aconsejamos no volver a congelarlo una vez descongelado.",4.0,False,False,,,0.45,2.11,0.95,False,kg,,True,False,,0,2.112,1.0,kg, <strong>x99</strong>.,<p>Judía verde plana y garrofón.,17,Congelados,213,145,Verdura,213,504,Verdura,213,https://prod-mercadona.imgix.net/images/f6c0af7778861897920113b5cbabd58b.jpg?fit=crop&h=1600&w=1600,2,https://prod-mercadona.imgix.net/images/4cc15a2bfa97666913ab13092558cc59.jpg?fit=crop&h=1600&w=1600,9.0,,,,,,,,,,,,61125_img_1.jpg,,,,,,60.0,0.4,0.1,7.7,2.6,4.1,0.01
